,bedrooms_total,baths_total,acres,sq_ft_tot_fn,tax_gross_amount,assessment_value_town,garage_capacity,year_built,total_stories,rooms_total,garage,flood_zone,basement,price_closed,city__Pomfret,city__Woodstock,covenants__Unknown,covenants__Yes,garage_type,short_sale,basement_access_type,current_use
35,4.0,3.0,0.58,2101.0,5709.0,295900.0,1.0,1957.0,1.0,7.0,1.0,0.0,1.0,338000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
36,3.0,2.0,11.46,1862.0,7627.0,372900.0,2.0,1984.0,2.0,7.0,1.0,0.0,1.0,385000.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,0.0
37,3.0,4.0,9.02,4320.0,12542.0,657080.0,2.0,2005.0,2.0,9.0,1.0,0.0,0.0,670000.0,0.0,0.0,1.0,0.0,0.0,1.0,0.49626383104298777,0.0
38,5.0,4.0,2.84,3284.0,8792.0,384300.0,2.0,1978.0,1.5,12.0,1.0,0.0,1.0,372500.0,0.0,1.0,0.0,1.0,0.0,1.0,0.1247380958345431,0.689405256804112
39,6.0,5.0,13.7,3100.0,23572.0,908270.0,4.0,1850.0,1.5,9.0,1.0,0.0,1.0,1562500.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0
40,4.0,3.0,55.57,2898.0,9339.0,489310.0,1.0,1850.0,1.5,11.0,1.0,1.0,1.0,305000.0,0.0,0.0,0.0,0.0,1.0,0.0,2.0,0.0
41,4.0,4.0,6.71,4603.0,19463.0,930900.0,2.0,2008.0,3.0,12.0,1.0,0.0,1.0,924500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.7988605487297823
42,4.0,5.0,0.89,4000.0,14691.0,728609.6899224806,2.0,2007.0,2.0,11.0,1.0,0.0,1.0,737500.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
43,3.0,2.0,0.2,2136.0,9567.0,530000.0,0.0,1826.0,1.5,10.0,0.0,1.0,1.0,490000.0,0.0,1.0,0.0,0.0,1.2740512966675226,0.0,2.0,0.0
44,3.0,4.0,4.2,4312.0,9367.0,485500.0,3.0,2001.0,2.0,12.0,1.0,0.0,1.0,445500.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
45,3.0,2.0,3.07,2087.0,6751.0,322900.0,1.0,1972.0,2.0,9.0,1.0,0.0,1.0,312000.0,0.0,1.0,0.0,0.0,3.0,0.0,0.0,0.0
46,3.0,2.0,5.0,1232.0,6237.0,728609.6899224806,2.0,1987.0,1.0,6.0,1.0,0.0,1.0,320000.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0
47,3.0,3.0,5.06,3531.0,10372.0,537600.0,0.0,2000.0,1.5,10.0,0.0,0.0,1.0,425000.0,0.0,1.0,1.0,0.0,1.0494582327874769,0.0,0.0,0.0
48,4.0,3.0,5.52,2404.0,9446.0,535500.0,0.0,2011.0,2.0,10.0,0.0,0.0,1.0,600000.0,0.0,1.0,0.0,1.0,0.9223598525977361,0.0,1.0,0.0915724151526248
49,4.0,3.0,0.27,2610.0,7254.0,333500.0,2.0,1900.0,2.5,9.0,1.0,1.0,1.0,425000.0,0.0,1.0,0.0,0.0,0.0,0.0,2.0,0.0
50,4.0,1.0,47.5,1896.0,12114.0,627900.0,0.0,1830.0,2.0,9.0,0.0,0.0,1.0,500000.0,0.0,1.0,0.0,1.0,0.5077735872224891,0.0,0.0,0.1051413211128832
51,4.0,4.0,249.5,4740.0,13268.992366412214,3886250.0,3.0,1992.0,2.5,12.0,1.0,0.0,1.0,3400000.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
52,3.0,3.0,2.8,3046.0,10434.0,540800.0,0.0,1995.0,2.0,9.0,0.0,0.0,1.0,435000.0,0.0,1.0,1.0,0.0,1.3146242965752641,1.0,0.0,0.0
53,4.0,3.0,0.38,2928.0,8137.0,462500.0,0.0,1840.0,2.0,11.0,0.0,0.0,1.0,409500.0,0.0,1.0,0.0,0.0,0.11733529324089856,0.0,0.0,0.0
